Nombre,66_03_05_2018
Apellido,8_24
Edad,18
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.2008450794724013,serpiente,hilo,sro,rctrl,lctrl,0.03335144550487712
-8,0,0,violin,mapache,sra,,lctrl,0.03340117249535979
-7,1,0.8233119013730175,hilo,serpiente,sra,lctrl,lctrl,0.03338161693750408
-6,1,0.5720855583599587,carro,buho,sra,lctrl,lctrl,0.033367089951525486
-5,1,0.5633919953513669,serpiente,hilo,sro,rctrl,lctrl,0.03337407407934734
-4,1,0.5616445665580159,pavo,rueda,sro,rctrl,lctrl,0.03338580741410624
-3,1,0.6543954608757758,violin,mapache,sra,lctrl,lctrl,0.033367089951525486
-2,1,0.5691335071917365,violin,mapache,sra,lctrl,lctrl,0.03345062012067501
-1,1,0.5704018248129614,hilo,serpiente,sra,lctrl,lctrl,0.03340228995580219
0,1,0.6889660557417301,buho,carro,sro,rctrl,lctrl,0.03336345820503084
1,1,0.6488439173135703,pinza,mesa,wro,rctrl,lctrl,0.03336262010952851
2,1,0.5624432714214436,raton,cabra,wra,lctrl,lctrl,0.0333698836025178
3,1,0.650511447684039,zorrino,zorro,sra,lctrl,lctrl,0.03338385185838888
4,1,0.5068105024520264,tigre,leon,sra,lctrl,lctrl,0.033399775669977316
5,1,0.44356140235686325,tortuga,tornillo,nr,rctrl,lctrl,0.033409274083851415
6,1,0.6168792402386316,bota,zapato,sro,rctrl,lctrl,0.03339502646281289
7,1,0.5602354489187746,conejo,clavo,nr,rctrl,lctrl,0.033376588365399584
8,1,0.6164548846290927,oveja,cabra,sra,lctrl,lctrl,0.03330982010288608
