Nombre,233_03_05_2018
Apellido,10_06
Edad,24
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,Menos de 5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.4286008417266203,pavo,rueda,sro,lctrl,rctrl,0.033363178839863394
-8,1,0.8394105954812403,mapache,violin,sro,lctrl,rctrl,0.03342380107005738
-7,1,0.7078634295703523,pavo,rueda,sro,lctrl,rctrl,0.03328355978192121
-6,1,0.6002410920937109,serpiente,hilo,sro,lctrl,rctrl,0.03340871535328915
-5,1,0.5307275086634036,serpiente,hilo,sro,lctrl,rctrl,0.03336541376029345
-4,1,0.4231020981715119,violin,mapache,sra,rctrl,rctrl,0.03334976931364508
-3,1,0.47598647314134723,hilo,serpiente,sra,rctrl,rctrl,0.033378264555722126
-2,1,0.4383171604204108,hilo,serpiente,sra,rctrl,rctrl,0.03340033440053958
-1,1,0.45609008966221154,pavo,rueda,sro,lctrl,rctrl,0.033364296299623675
0,1,0.4887573700007124,mapache,violin,sro,lctrl,rctrl,0.03297039148856129
1,1,0.5221604980515622,pinguino,clavo,nr,lctrl,rctrl,0.03337714709505235
2,1,0.49354038013188983,sarten,olla,sro,lctrl,rctrl,0.03339167408103094
3,1,0.4779157686234612,ciervo,tenedor,nr,lctrl,rctrl,0.03339809947829053
4,1,0.5223018568003681,perro,gato,sra,rctrl,rctrl,0.0333324486764468
5,1,0.4887727350824207,pinza,mesa,wro,lctrl,rctrl,0.03338804233499104
6,1,0.4771589685287836,raton,cabra,wra,rctrl,rctrl,0.033386086779501056
7,1,0.5542165275201114,cama,mono,nr,rctrl,rctrl,0.03338608677859156
8,1,0.4493269395970856,pipa,cigarrillo,sro,lctrl,rctrl,0.033365693126143015
