Nombre,SOA233
Apellido,11_45
Edad,21
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.7403136432144493,mapache,violin,sro,lctrl,rctrl,0.033304791530781586
-8,1,0.8220153678748829,buho,carro,sro,lctrl,rctrl,0.03335340106082185
-7,1,0.4710330502900888,carro,buho,sra,rctrl,rctrl,0.033497553460165364
-6,1,0.4345974139171176,violin,mapache,sra,rctrl,rctrl,0.03327545819365696
-5,1,0.48578073470230265,hilo,pavo,sra,rctrl,rctrl,0.0333782645559495
-4,1,0.41612774807958886,hilo,serpiente,sra,rctrl,rctrl,0.033418213767390625
-3,1,0.5400225447649518,violin,mapache,sra,rctrl,rctrl,0.03335647407698161
-2,1,0.4058029721652474,carro,buho,sra,rctrl,rctrl,0.03341402329056109
-1,1,0.5601597409727219,serpiente,hilo,sro,lctrl,rctrl,0.03340648043240435
0,1,0.5832313883468032,pavo,rueda,sro,lctrl,rctrl,0.03338468995366384
1,1,0.4568021913398752,pincel,pato,nr,rctrl,rctrl,0.0333877629698236
2,1,0.4345124869223582,taza,cabra,nr,rctrl,rctrl,0.0333665312211906
3,1,0.4870205570819053,ardilla,vaso,nr,lctrl,rctrl,0.03337435344451478
4,1,0.539939293960515,bota,zapato,sro,lctrl,rctrl,0.0333760296350647
5,1,0.515473894028446,escarabajo,leon,wra,rctrl,rctrl,0.0333922328115932
6,1,0.572081647248524,conejo,clavo,nr,lctrl,rctrl,0.033339432804950775
7,1,0.4694339643726835,pinguino,clavo,nr,lctrl,rctrl,0.033396982018757626
8,1,0.4911244306190383,silla,mesa,sro,lctrl,rctrl,0.03341793440222318
9,1,0.4423073323564495,perro,gato,sra,rctrl,rctrl,0.03322964231483638
10,1,0.5461979106282797,cuchillo,tenedor,sro,lctrl,rctrl,0.03341262646517862
11,1,0.4666428275099861,peine,tornillo,wro,lctrl,rctrl,0.03336848677690796
12,1,0.7112409538083284,rinoceronte,tenedor,nr,lctrl,rctrl,0.03339949630480987
13,1,0.42550966673138646,zorrino,zorro,sra,rctrl,rctrl,0.03340396614657948
14,1,0.5823349056931875,cuchara,cigarrillo,wro,lctrl,rctrl,0.03336094391875122
15,1,0.4565636135318982,arana,caballo,wra,rctrl,rctrl,0.03323075977550616
16,1,0.5950585898488043,sombrero,tenedor,wro,lctrl,rctrl,0.033394188367537936
17,1,0.7606332648422267,gallo,cigarrillo,nr,lctrl,rctrl,0.03337854392111694
18,1,0.377484847934511,jirafa,cebra,sra,rctrl,rctrl,0.03340312805130452
19,1,0.5055164832401715,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033397820114032584
20,1,0.6060211563201392,cama,mono,nr,rctrl,rctrl,0.03321092485225563
21,1,0.6252618698745209,mariposa,vaso,nr,lctrl,rctrl,0.03332127407270491
22,1,0.46636765287212256,tuerca,gato,nr,rctrl,rctrl,0.033370162967685246
23,1,0.5772887336238455,tijera,leon,nr,rctrl,rctrl,0.03335535661653921
24,1,0.5983182220086292,hacha,vaso,wro,lctrl,rctrl,0.033309540737718635
25,1,0.6537487306347884,ciervo,tenedor,nr,lctrl,rctrl,0.03338692487454864
26,1,0.48537342036502196,candado,cebra,nr,rctrl,rctrl,0.03339530582798034
27,1,0.4936809007847387,camello,zapato,nr,lctrl,rctrl,0.03339195344665313
28,1,0.6304843213313234,sobre,gato,nr,rctrl,rctrl,0.033369324872182915
29,1,0.47481118410291856,lapiz,zorro,nr,rctrl,rctrl,0.03343581376952898
30,1,0.4716515646541666,botella,vaso,sro,lctrl,rctrl,0.03337575026989725
31,1,0.3996141967763833,regla,clavo,wro,lctrl,rctrl,0.03337770582561461
32,1,0.4232412219989783,burro,caballo,sra,rctrl,rctrl,0.03340312805107715
33,1,0.3660526687051515,gorila,mono,sra,rctrl,rctrl,0.03335200423521201
34,1,0.3887711985742044,tigre,leon,sra,rctrl,rctrl,0.033436372499863865
35,0,0.4630471191169363,serrucho,caballo,nr,lctrl,rctrl,0.03335256296531952
36,1,0.46374692872973355,media,olla,wro,lctrl,rctrl,0.03341458202089598
37,0,0.4121096396329449,chancho,tornillo,nr,rctrl,rctrl,0.03330870264244368
38,1,0.6324071914166325,bowl,caballo,nr,rctrl,rctrl,0.03337435344451478
39,1,0.4813731912856838,tortuga,tornillo,nr,lctrl,rctrl,0.0333793820163919
40,1,0.4714752852667061,pipa,cigarrillo,sro,lctrl,rctrl,0.033388880430266
41,1,0.6856706648470663,sarten,olla,sro,lctrl,rctrl,0.03320338199409889
42,1,0.4531581527819526,pinza,mesa,wro,lctrl,rctrl,0.03336485503041331
43,1,0.34759529493271657,mosca,zorro,wra,rctrl,rctrl,0.03337742646067454
44,1,0.3867592110168516,oso,olla,nr,lctrl,rctrl,0.03337155979306772
45,1,0.3880579794363257,escritorio,leon,nr,rctrl,rctrl,0.03340703916273924
46,1,0.40696736596419214,cisne,pato,sra,rctrl,rctrl,0.03340089313041972
